INFO 2026-04-09 01:37:36,699 autoreload Watching for file changes with StatReloader
DEBUG 2026-04-09 01:37:40,349 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\euc_jis_2004.py first seen with mtime 1775658225.2057369
DEBUG 2026-04-09 01:37:40,349 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\http\server.py first seen with mtime 1775658225.271853
DEBUG 2026-04-09 01:37:40,349 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django_filters\rest_framework\__init__.py first seen with mtime 1775678480.4849415
DEBUG 2026-04-09 01:37:40,349 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\codeop.py first seen with mtime 1775658224.9728446
DEBUG 2026-04-09 01:37:40,350 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\html\__init__.py first seen with mtime 1775658225.2644892
DEBUG 2026-04-09 01:37:40,350 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\importlib\resources\__init__.py first seen with mtime 1775658225.696489
DEBUG 2026-04-09 01:37:40,351 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\idna\core.py first seen with mtime 1775678459.9112794
DEBUG 2026-04-09 01:37:40,351 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1775678461.5095267
DEBUG 2026-04-09 01:37:40,351 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\DLLs\_decimal.pyd first seen with mtime 1775658224.881258
DEBUG 2026-04-09 01:37:40,351 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\http\response.py first seen with mtime 1775678472.6165195
DEBUG 2026-04-09 01:37:40,351 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\importlib\resources\abc.py first seen with mtime 1775658225.6922488
DEBUG 2026-04-09 01:37:40,352 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\urllib3\__init__.py first seen with mtime 1775678456.644109
DEBUG 2026-04-09 01:37:40,352 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\compression\__init__.py first seen with mtime 1775658225.1362274
DEBUG 2026-04-09 01:37:40,352 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1775678464.4341004
DEBUG 2026-04-09 01:37:40,352 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\utils\version.py first seen with mtime 1775678473.0287075
DEBUG 2026-04-09 01:37:40,353 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1775678456.644109
DEBUG 2026-04-09 01:37:40,353 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\urllib3\util\ssltransport.py first seen with mtime 1775678456.7023916
DEBUG 2026-04-09 01:37:40,353 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\asyncio\windows_utils.py first seen with mtime 1775658225.127926
DEBUG 2026-04-09 01:37:40,353 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\asyncio\coroutines.py first seen with mtime 1775658225.1074119
DEBUG 2026-04-09 01:37:40,353 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1775678472.961429
DEBUG 2026-04-09 01:37:40,353 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\sqlparse\utils.py first seen with mtime 1775678457.8217037
DEBUG 2026-04-09 01:37:40,354 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\forms\fields.py first seen with mtime 1775678472.3370812
DEBUG 2026-04-09 01:37:40,354 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\urllib\parse.py first seen with mtime 1775658225.439752
DEBUG 2026-04-09 01:37:40,354 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1775678471.122207
DEBUG 2026-04-09 01:37:40,354 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1775678460.1381695
DEBUG 2026-04-09 01:37:40,354 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\db\models\constants.py first seen with mtime 1775678472.022309
DEBUG 2026-04-09 01:37:40,354 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\ctypes\wintypes.py first seen with mtime 1775658225.1385407
DEBUG 2026-04-09 01:37:40,355 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\cp860.py first seen with mtime 1775658225.1957834
DEBUG 2026-04-09 01:37:40,355 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\gb18030.py first seen with mtime 1775658225.2077436
DEBUG 2026-04-09 01:37:40,355 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\asgiref\sync.py first seen with mtime 1775678460.3685205
DEBUG 2026-04-09 01:37:40,355 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1775678461.5071476
DEBUG 2026-04-09 01:37:40,355 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\koi8_t.py first seen with mtime 1775658225.236321
DEBUG 2026-04-09 01:37:40,355 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1775678479.5462558
DEBUG 2026-04-09 01:37:40,355 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\cp1257.py first seen with mtime 1775658225.1810212
DEBUG 2026-04-09 01:37:40,356 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1775678471.2712536
DEBUG 2026-04-09 01:37:40,356 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\template\base.py first seen with mtime 1775678472.6707616
DEBUG 2026-04-09 01:37:40,356 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\email\headerregistry.py first seen with mtime 1775658225.1529884
DEBUG 2026-04-09 01:37:40,356 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1775678461.534583
DEBUG 2026-04-09 01:37:40,356 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\traceback.py first seen with mtime 1775658225.0687213
DEBUG 2026-04-09 01:37:40,357 autoreload File D:\Projects\blinkit-logistics-system\backend\apps\expenses\serializers.py first seen with mtime 1775677995.667306
DEBUG 2026-04-09 01:37:40,357 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1775678471.9955807
DEBUG 2026-04-09 01:37:40,357 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1775678460.139387
DEBUG 2026-04-09 01:37:40,357 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1775678479.5226808
DEBUG 2026-04-09 01:37:40,357 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\importlib\__init__.py first seen with mtime 1775658225.3445816
DEBUG 2026-04-09 01:37:40,358 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\cp775.py first seen with mtime 1775658225.1888196
DEBUG 2026-04-09 01:37:40,358 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1775678471.1400232
DEBUG 2026-04-09 01:37:40,358 autoreload File D:\Projects\blinkit-logistics-system\backend\apps\common\__init__.py first seen with mtime 1775677995.5800705
DEBUG 2026-04-09 01:37:40,358 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\relations.py first seen with mtime 1775678479.0027633
DEBUG 2026-04-09 01:37:40,358 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1775678460.3645256
DEBUG 2026-04-09 01:37:40,359 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\core\wsgi.py first seen with mtime 1775678471.1084828
DEBUG 2026-04-09 01:37:40,359 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\requests\exceptions.py first seen with mtime 1775678460.4340248
DEBUG 2026-04-09 01:37:40,359 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1775678457.842426
DEBUG 2026-04-09 01:37:40,359 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\concurrent\futures\_base.py first seen with mtime 1775658225.590876
DEBUG 2026-04-09 01:37:40,359 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\euc_kr.py first seen with mtime 1775658225.2077436
DEBUG 2026-04-09 01:37:40,359 autoreload File D:\Projects\blinkit-logistics-system\backend\apps\accounts\managers.py first seen with mtime 1775677995.5567894
DEBUG 2026-04-09 01:37:40,360 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1775678471.283787
DEBUG 2026-04-09 01:37:40,360 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\urllib3\util\request.py first seen with mtime 1775678456.6886022
DEBUG 2026-04-09 01:37:40,360 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django_filters\filterset.py first seen with mtime 1775678480.3445766
DEBUG 2026-04-09 01:37:40,360 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1775678471.5897949
DEBUG 2026-04-09 01:37:40,360 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1775678464.4360447
DEBUG 2026-04-09 01:37:40,360 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\xml\dom\domreg.py first seen with mtime 1775658225.698578
DEBUG 2026-04-09 01:37:40,361 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\urllib3\util\connection.py first seen with mtime 1775678456.6865926
DEBUG 2026-04-09 01:37:40,361 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\importlib\resources\readers.py first seen with mtime 1775658225.6922488
DEBUG 2026-04-09 01:37:40,361 autoreload File D:\Projects\blinkit-logistics-system\backend\apps\payments\urls.py first seen with mtime 1775678855.9289699
DEBUG 2026-04-09 01:37:40,361 autoreload File D:\Projects\blinkit-logistics-system\backend\apps\accounts\authentication.py first seen with mtime 1775677995.5481653
DEBUG 2026-04-09 01:37:40,361 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\utils\log.py first seen with mtime 1775678472.967489
DEBUG 2026-04-09 01:37:40,361 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\generics.py first seen with mtime 1775678478.9886296
DEBUG 2026-04-09 01:37:40,362 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1775678479.5236788
DEBUG 2026-04-09 01:37:40,362 autoreload File D:\Projects\blinkit-logistics-system\backend\apps\accounts\serializers.py first seen with mtime 1775677995.5641487
DEBUG 2026-04-09 01:37:40,362 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\db\backends\postgresql\base.py first seen with mtime 1775678471.7677255
DEBUG 2026-04-09 01:37:40,362 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\asyncio\trsock.py first seen with mtime 1775658225.1213756
DEBUG 2026-04-09 01:37:40,362 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\hmac.py first seen with mtime 1775658225.004282
DEBUG 2026-04-09 01:37:40,362 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\cp1026.py first seen with mtime 1775658225.171247
DEBUG 2026-04-09 01:37:40,363 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\mac_iceland.py first seen with mtime 1775658225.2403493
DEBUG 2026-04-09 01:37:40,363 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1775678472.7561524
DEBUG 2026-04-09 01:37:40,363 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\dotenv\main.py first seen with mtime 1775678458.1645436
DEBUG 2026-04-09 01:37:40,363 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\PIL\TiffTags.py first seen with mtime 1775678458.790616
DEBUG 2026-04-09 01:37:40,363 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\utils\safestring.py first seen with mtime 1775678472.9994042
DEBUG 2026-04-09 01:37:40,363 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\email\generator.py first seen with mtime 1775658225.1529884
DEBUG 2026-04-09 01:37:40,364 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\urls\base.py first seen with mtime 1775678472.8502376
DEBUG 2026-04-09 01:37:40,364 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\validators.py first seen with mtime 1775678479.0354483
DEBUG 2026-04-09 01:37:40,364 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\difflib.py first seen with mtime 1775658224.9850223
DEBUG 2026-04-09 01:37:40,364 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\asyncio\base_events.py first seen with mtime 1775658225.1013887
DEBUG 2026-04-09 01:37:40,364 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\utils\encoding.py first seen with mtime 1775678472.915244
DEBUG 2026-04-09 01:37:40,365 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\importlib\metadata\_functools.py first seen with mtime 1775658225.6872773
DEBUG 2026-04-09 01:37:40,365 autoreload File D:\Projects\blinkit-logistics-system\backend\config\settings\development.py first seen with mtime 1775677995.8109488
DEBUG 2026-04-09 01:37:40,365 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\asyncio\sslproto.py first seen with mtime 1775658225.1191359
DEBUG 2026-04-09 01:37:40,365 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\compression\zstd\_zstdfile.py first seen with mtime 1775658225.583764
DEBUG 2026-04-09 01:37:40,365 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1775678464.8755617
DEBUG 2026-04-09 01:37:40,365 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\email\utils.py first seen with mtime 1775658225.1529884
DEBUG 2026-04-09 01:37:40,366 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\cp720.py first seen with mtime 1775658225.1868105
DEBUG 2026-04-09 01:37:40,366 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1775678463.8657246
DEBUG 2026-04-09 01:37:40,366 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1775678472.8741448
DEBUG 2026-04-09 01:37:40,366 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\functools.py first seen with mtime 1775658224.9950333
DEBUG 2026-04-09 01:37:40,366 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1775678472.2023077
DEBUG 2026-04-09 01:37:40,366 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\cp1006.py first seen with mtime 1775658225.171247
DEBUG 2026-04-09 01:37:40,367 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\encodings\iso8859_4.py first seen with mtime 1775658225.2289183
DEBUG 2026-04-09 01:37:40,367 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\DLLs\_queue.pyd first seen with mtime 1775658224.890197
DEBUG 2026-04-09 01:37:40,367 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1775678471.1115544
DEBUG 2026-04-09 01:37:40,367 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\email\_policybase.py first seen with mtime 1775658225.1529884
DEBUG 2026-04-09 01:37:40,367 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1775678457.824116
DEBUG 2026-04-09 01:37:40,368 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\urllib\__init__.py first seen with mtime 1775658225.4443624
